DBN,School Name,Grade Level,Program Type,Department,Subject,Number of Students,Number of Classes,Average Class Size
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,English,HS English 09,35,2,17.5
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,English,HS English 10,14,1,14
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,English,HS English 12,21,1,21
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,English,HS English Other,11,1,11
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Math,HS Algebra I,18,1,18
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Math,HS Algebra II,16,1,16
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Math,HS Math Other,16,1,16
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Science,HS Earth Science,23,1,23
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Science,HS Living Environment,22,1,22
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Science,HS Other Life Science,57,3,19
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Science,HS Other Science,12,1,12
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Social Studies,HS Global History,61,3,20.3
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Social Studies,HS Government,21,1,21
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Social Studies,HS Social Studies Other,22,2,11
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Social Studies,HS US History,22,1,22
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,English,HS English 09,32,2,16
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,English,HS English 10,20,1,20
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,English,HS English 11,43,2,21.5
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,English,HS English 12,24,1,24
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,Math,HS Algebra I,68,3,22.7
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,Science,HS Earth Science,26,1,26
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,Science,HS Living Environment,21,1,21
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,Science,HS Other Life Science,17,1,17
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,Social Studies,HS Global History,16,1,16
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,Social Studies,HS Government,26,1,26
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,Social Studies,HS US History,19,1,19
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,Gen Ed,English,HS English 09,72,3,24
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,Gen Ed,English,HS English 10,49,2,24.5
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,Gen Ed,English,HS English 11,40,2,20
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,Gen Ed,English,HS English 12,42,2,21
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,Gen Ed,English,HS English Other,40,3,13.3
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,Gen Ed,Math,HS Algebra I,52,2,26
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,Gen Ed,Math,HS Algebra II,52,2,26
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,Gen Ed,Math,HS Geometry,48,2,24
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,Gen Ed,Math,HS Math Other,65,3,21.7
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,Gen Ed,Science,HS Chemistry,32,1,32
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,HS Core,Gen Ed,Science,HS Earth Science,68,3,22.7
