Grade Level,Program Type,Department,Class Size,Number of Students,Number of Classes,% of Students within Grade
HS Core,Gen Ed/ICT/Acc,English,<15,16319,1555,6.3
HS Core,Gen Ed/ICT/Acc,English,15,3525,236,1.4
HS Core,Gen Ed/ICT/Acc,English,16,4176,262,1.6
HS Core,Gen Ed/ICT/Acc,English,17,4641,274,1.8
HS Core,Gen Ed/ICT/Acc,English,18,4644,259,1.8
HS Core,Gen Ed/ICT/Acc,English,19,6156,324,2.4
HS Core,Gen Ed/ICT/Acc,English,20,6620,334,2.5
HS Core,Gen Ed/ICT/Acc,English,21,7602,366,2.9
HS Core,Gen Ed/ICT/Acc,English,22,8250,375,3.2
HS Core,Gen Ed/ICT/Acc,English,23,8556,372,3.3
HS Core,Gen Ed/ICT/Acc,English,24,9336,390,3.6
HS Core,Gen Ed/ICT/Acc,English,25,9975,400,3.8
HS Core,Gen Ed/ICT/Acc,English,26,10270,395,4.0
HS Core,Gen Ed/ICT/Acc,English,27,11745,436,4.5
HS Core,Gen Ed/ICT/Acc,English,28,12404,443,4.8
HS Core,Gen Ed/ICT/Acc,English,29,13050,451,5.0
HS Core,Gen Ed/ICT/Acc,English,30,15000,504,5.8
HS Core,Gen Ed/ICT/Acc,English,31,16027,518,6.2
HS Core,Gen Ed/ICT/Acc,English,32,18528,583,7.1
HS Core,Gen Ed/ICT/Acc,English,33,24783,756,9.5
HS Core,Gen Ed/ICT/Acc,English,34,40290,1185,15.5
HS Core,Gen Ed/ICT/Acc,English,>34,7809,214,3.0
HS Core,Gen Ed/ICT/Acc,Math,<15,8971,832,4.0
HS Core,Gen Ed/ICT/Acc,Math,15,2415,162,1.1
HS Core,Gen Ed/ICT/Acc,Math,16,3088,193,1.4
HS Core,Gen Ed/ICT/Acc,Math,17,2890,171,1.3
HS Core,Gen Ed/ICT/Acc,Math,18,3492,195,1.5
HS Core,Gen Ed/ICT/Acc,Math,19,4047,214,1.8
HS Core,Gen Ed/ICT/Acc,Math,20,5940,297,2.6
HS Core,Gen Ed/ICT/Acc,Math,21,6111,292,2.7
HS Core,Gen Ed/ICT/Acc,Math,22,7964,362,3.5
HS Core,Gen Ed/ICT/Acc,Math,23,6923,302,3.1
HS Core,Gen Ed/ICT/Acc,Math,24,8736,364,3.9
HS Core,Gen Ed/ICT/Acc,Math,25,9100,366,4.0
HS Core,Gen Ed/ICT/Acc,Math,26,10088,389,4.5
