DBN,School Name,Metric Value - Percentage of Students Who Graduated in 4 Years (Out of Students at Level 1 in 8th Grade),Metric Value - Percentage of Students Who Graduated in 4 Years (Out of Students at Level 2 in 8th Grade),Metric Value - Percentage of Students Who Graduated in 4 Years (Out of Students at Level 3 or 4 in 8th Grade),Metric Value - Average score of students in the current cohort who took the ACT English exam,Metric Value - Average score of students in the current cohort who took the ACT Math exam,Metric Value - Average score of students in the current cohort who took the ACT Reading exam,Metric Value - Average score of students in the current cohort who took the ACT Science exam,Metric Value - Average score of students in the current cohort who took the SAT Math exam,Metric Value - Average score of students in the current cohort who took the SAT Reading and Writing exam
01M292,Orchard Collegiate Academy,73.80%,,,,,,,439.1,461.3
01M448,University Neighborhood High School,78.70%,96.20%,100.00%,,,,,515.6,493.9
01M450,East Side Community School,66.70%,96.80%,97.70%,,,,,522.7,539.9
01M509,Marta Valle High School,64.90%,80.60%,,,,,,411,437.6
01M539,"New Explorations into Science, Technology and Math",,,97.20%,27.2,27.9,26.7,25.4,686.6,647.3
01M696,Bard High School Early College,,,99.00%,32.4,29,31.6,29.3,658.4,673.9
02M047,47 The American Sign Language and English Secondar,94.10%,97.00%,,,,,,449,476
02M135,The Urban Assembly School for Emergency Management,64.30%,83.00%,88.90%,,,,,473,480.7
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,64.70%,85.90%,100.00%,,,,,444.7,447.4
02M260,M.S. 260 Clinton School Writers & Artists,,,,,,,,,
02M280,Manhattan Early College School for Advertising,100.00%,94.60%,100.00%,,,,,498.1,496.4
02M282,Urban Assembly Maker Academy,61.90%,100.00%,97.30%,,,,,521.7,514
02M288,Food and Finance High School,71.40%,95.20%,97.80%,,,,,457.6,468.3
02M294,Essex Street Academy,78.60%,86.80%,92.90%,,,,,448.3,478.9
02M296,High School of Hospitality Management,58.00%,85.50%,93.30%,,,,,450.9,451.7
02M298,Pace High School,68.80%,88.90%,100.00%,19.6,19.1,19.2,19.3,509.3,516.7
02M300,"Urban Assembly School of Design and Construction,",48.10%,75.90%,90.30%,,,,,470.6,462
02M303,"Facing History School, The",62.50%,87.30%,100.00%,,,,,423.3,441.5
02M305,"Urban Assembly Academy of Government and Law, The",68.60%,97.10%,88.00%,,,,,440.6,457.9
02M308,Lower Manhattan Arts Academy,66.70%,89.70%,90.00%,,,,,454.7,471.4
02M316,"Urban Assembly School of Business for Young Women,",54.50%,78.90%,100.00%,,,,,439.1,462.3
02M374,Gramercy Arts High School,68.30%,84.80%,90.40%,,,,,449.2,481.3
02M376,NYC iSchool,,95.90%,99.30%,25.2,23.1,24.6,22.9,550.5,566.5
02M392,MANHATTAN BUSINESS ACADEMY,83.30%,89.80%,91.40%,,,,,454.7,473.2
02M393,Business Of Sports School,69.00%,90.10%,96.20%,,,,,441.1,441.5
02M399,The High School For Language And Diplomacy,60.90%,91.10%,94.40%,,,,,506.7,491.1
02M400,High School for Environmental Studies,53.70%,80.00%,96.90%,22.8,22.5,22.8,21.8,507.2,511
02M407,Institute for Collaborative Education,,,96.40%,27.7,22.7,27.7,23.5,558.6,612.8
02M408,Professional Performing Arts High School,86.40%,89.10%,97.70%,26.5,23.2,26.1,23.8,528.3,566.6
02M411,Baruch College Campus High School,,96.00%,100.00%,27.7,25.1,27.4,25.7,627.5,608.2
02M412,N.Y.C. Lab School for Collaborative Studies,,97.10%,99.60%,28.7,26.3,27.9,25.6,626.7,612.4
02M413,School of the Future High School,,100.00%,97.70%,24.7,23.1,24.5,23.1,537.7,563.4
02M414,N.Y.C. Museum School,,96.80%,100.00%,,,,,579.6,566.9
02M416,Eleanor Roosevelt High School,,,100.00%,32.1,29.6,31,29.4,672.8,656.2
02M418,Millennium High School,,93.80%,99.60%,29.3,27.1,28.3,26.4,654.6,630.1
02M419,Landmark High School,63.00%,70.50%,,,,,,436.2,457.7
02M420,High School for Health Professions and Human Servi,78.90%,93.60%,98.10%,22,22.7,23.1,21.7,524.9,521
02M422,Quest to Learn,66.70%,79.20%,90.00%,,,,,504.5,525.6
02M425,Leadership and Public Service High School,53.30%,85.10%,95.30%,,,,,453,471.5
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,79.60%,94.10%,,,,,,463.7,431
02M432,Murray Hill Academy,61.70%,80.00%,87.50%,,,,,453.8,461
02M437,Hudson High School of Learning Technologies,49.00%,80.20%,93.10%,,,,,455.6,462
02M438,International High School at Union Square,55.90%,,,,,,,435.3,405.3
02M439,Manhattan Village Academy,100.00%,100.00%,100.00%,,,,,573.6,551.5
02M449,Vanguard High School,60.00%,88.20%,85.40%,,,,,460.8,465.9
02M459,Manhattan International High School,73.30%,88.90%,,,,,,422.4,424.2
02M475,Stuyvesant High School,,,98.50%,33.7,33.7,33.1,31.8,773.9,722.3
02M489,High School of Economics and Finance,70.60%,91.00%,97.90%,19.8,22.5,20.3,20.8,526.6,522.8
02M500,Unity Center for Urban Technologies,80.30%,81.60%,100.00%,,,,,439.3,460.5
02M507,Urban Assembly Gateway School for Technology,77.40%,94.30%,96.30%,,,,,497.6,500.3
02M519,Talent Unlimited High School,94.10%,96.60%,99.00%,23.5,23.1,24.2,21.9,519.7,541.1
