dbn,school_name,boro,location,phone_number,fax_number,school_email,website,subway,bus,total_students,start_time,end_time,primary_address_line_1,city,Postcode,state_code,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
08X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",X,"1440 Story Avenue, Bronx NY 10473(40.820486, -73.881187)",718-860-5110,718-860-5081,aterrel2@schools.nyc.gov,schools.nyc.gov/SchoolPortals/08/X519,6 to Whitlock Ave,"Bx5, Bx6",242,8am,2:20pm,1440 Story Avenue,Bronx,10473,NY,BRONX    ,40.820486,-73.881187,9,17,28,2022544,2036220016,Soundview-Castle Hill-Clason Point-Harding Park                            
13K350,Urban Assembly High School of Music and Art,K,"49 Flatbush Avenue Extension, Brooklyn NY 11201(40.69733, -73.984528)",718-858-0249,718-858-0492,Czayas4@schools.nyc.gov,uamusicandart.org,"2, 3, 4, 5 to Court St-Borough Hall; A, C to High St; B, Q to DeKalb Ave; F to York St; R to Jay St-MetroTech","B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B65, B67, B69",268,8:13am,4pm,49 Flatbush Avenue Extension,Brooklyn,11201,NY,BROOKLYN ,40.69733,-73.984528,2,33,15,3000216,3001200020,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
28Q680,Queens Gateway to Health Sciences Secondary School,Q,"160-20 Goethals Avenue, Jamaica NY 11432(40.718027, -73.805923)",718-969-3155,718-969-3552,JHenry2@schools.nyc.gov,queensgateway.org,N/A,"Q25, Q34, Q46, Q65, QM1, QM31, QM35, QM36, QM5, QM6, QM7, QM8",704,8am,2:30pm,160-20 Goethals Avenue,Jamaica,11432,NY,QUEENS   ,40.718027,-73.805923,8,24,1267,4539721,4068580050,Pomonok-Flushing Heights-Hillcrest                                         
08X282,Women's Academy of Excellence,X,"456 White Plains Road, Bronx NY 10473(40.815043, -73.85607)",718-542-0740,718-542-0841,sburns@schools.nyc.gov,schools.nyc.gov/SchoolPortals/08/X282,N/A,"Bx22, Bx27, Bx36, Bx39, Bx5",305,8:20am,2:45pm,456 White Plains Road,Bronx,10473,NY,BRONX    ,40.81504,-73.85607,9,18,4,2020580,2034780018,Soundview-Castle Hill-Clason Point-Harding Park                            
25Q285,World Journalism Preparatory: A College Board School,Q,"34-65 192nd Street, Flushing NY 11358(40.764884, -73.789365)",718-461-2219,718-461-2633,JWerner2@schools.nyc.gov,wjps.org,N/A,"Q12, Q13, Q16, Q28, Q31, Q76, QM3",566,8:05am,2:25pm,34-65 192nd Street,Flushing,11358,NY,QUEENS   ,40.764884,-73.789365,11,19,1139,4119139,4052610001,Auburndale                                                                 
13K499,ACORN Community High School,K,"561 Grand Avenue, Brooklyn NY 11238(40.678591, -73.961636)",718-789-2258,718-789-2260,13K499@schools.nyc.gov,schools.nyc.gov/SchoolPortals/13/K499,"2, 3 to Eastern Parkway-Brooklyn Museum; C to Franklin Ave; F, S to Park Place","B25, B26, B44, B44-SBS, B45, B48, B49, B52, B65, B69",262,8:15am,2:40pm,561 Grand Avenue,Brooklyn,11238,NY,BROOKLYN ,40.678591,-73.961636,8,35,305,3027982,3011410005,Crown Heights North                                                        
27Q351,Rockaway Collegiate High School,Q,"100-00 Beach Channel Drive, Rockaway Park NY 11694(40.586012, -73.825317)",718-734-3290,718-734-3276,ncrocker@schools.nyc.gov,schools.nyc.gov/SchoolPortals/27/Q351,"A, S to Beach 98th St-Playland","Q22, Q52, Q53, QM16, QM17",370,8am,2:20pm,100-00 Beach Channel Drive,Rockaway Park,11694,NY,QUEENS   ,40.586012,-73.825317,14,32,94201,4303773,4161670099,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
02M316,"Urban Assembly School of Business for Young Women, The",M,"26 Broadway, Manhattan NY 10004(40.705688, -74.013303)",212-668-0169,212-668-0635,pminaya@uasbyw.org,schools.nyc.gov/SchoolPortals/02/M316,"1, R to Rector St; 1, R to Whitehall St-South Ferry; 2, 3 to Wall St; 4, 5 to Bowling Green; A, C to Fulton St-Broadway-Nassau; E to World Trade Center; J, Z to Broad St; N to South Ferry","BM1, BM2, BM3, BM4, BxM18, M15, M15-SBS, M20, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X37, X38, X4, X42, X5, X7, X8, X9",275,8:15am,2:35pm,26 Broadway,Manhattan,10004,NY,MANHATTAN,40.705688,-74.013303,1,1,9,1000811,1000220013,Battery Park City-Lower Manhattan                                          
11X249,Bronx Health Sciences High School,X,"750 Baychester Avenue, Bronx NY 10475(40.874035, -73.831669)",718-904-5450,718-904-5451,mrivas@schools.nyc.gov,schools.nyc.gov/SchoolPortals/11/X249,5 to Baychester Ave,"Bx12, Bx12-SBS, Bx23, Bx26, Bx28, Bx29, Bx30, Bx38, Bx5, BxM7, Q50",322,7:15am,3pm,750 Baychester Avenue,Bronx,10475,NY,BRONX    ,40.874035,-73.831669,10,12,46201,2116159,2051410150,Co-op City                                                                 
02M529,Jacqueline Kennedy Onassis High School,M,"120 West 46th Street, Manhattan NY 10036(40.757626, -73.98346)",212-391-0041,212-391-1293,edemeo@schools.nyc.gov,schools.nyc.gov/SchoolPortals/02/M529,"1, 2, 3, A, C, E, S to Times Square-42nd St; 4, 5, 6 to Grand Central - 42nd St; 7 to 42nd St-Bryant Park; B, D, F, M to 47-50th Sts Rockefeller Center; N, Q, R to 49th St","BM1, BM2, BM3, BM4, BM5, BxM10, BxM11, BxM18, BxM2, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M104, M11, M2, M20, M3, M34A-SBS, M4, M42, M5, M50, M7, Q32, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM4, QM5, QM6, X1, X10, X10B, X12, X14, X17, X17J, X2, X21, X22, X22A, X27, X28, X30, X31, X37, X38, X42, X5, X63, X64, X68, X7, X9",641,8:05am,2:35pm,120 West 46th Street,Manhattan,10036,NY,MANHATTAN,40.75762,-73.98346,5,4,119,1069583,1009980041,Midtown-Midtown South                                                      
02M414,N.Y.C. Museum School,M,"333 West 17th Street, Manhattan NY 10011(40.742512, -74.002222)",212-675-6206,212-675-6524,02M414@schools.nyc.gov,nycmuseumschool.org,"1 to 18th St; 2, 3, F, M to 14th St; A, C, E, L to 14th St-8th Ave","M11, M12, M14A, M14D, M20, M23, M5, M7, X1, X10, X10B, X12, X17, X27, X28",454,8:15am,2:35pm,333 West 17th Street,Manhattan,10011,NY,MANHATTAN,40.742512,-74.002222,4,3,83,1079152,1007410010,Hudson Yards-Chelsea-Flatiron-Union Square                                 
12X684,Wings Academy,X,"1122 East 180th Street, Bronx NY 10460(40.841376, -73.875262)",718-597-1751,718-931-8366,TWillia13@schools.nyc.gov,schools.nyc.gov/SchoolPortals/12/X684,"2, 5 to East 180th St","Bx21, Bx36, Bx40, Bx42, Bx9, BxM10, BxM6, Q44-SBS",489,8am,3pm,1122 East 180th Street,Bronx,10460,NY,BRONX    ,40.841376,-73.875262,6,15,220,2042451,2040060003,East Tremont                                                               
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,X,"921 East 228th Street, Bronx NY 10466(40.888242, -73.852714)",718-696-3840,718-696-3841,zwhite2@schools.nyc.gov,schools.nyc.gov/SchoolPortals/11/X270,"2, 5 to 225th St","Bx31, Bx39, Bx8, BxM11",370,7:55am,2:10pm,921 East 228th Street,Bronx,10466,NY,BRONX    ,40.888242,-73.852714,12,12,404,2064589,2048640035,Williamsbridge-Olinville                                                   
11X418,Bronx High School for the Visual Arts,X,"2040 Antin Place, Bronx NY 10462(40.851577, -73.864438)",718-319-5160,718-319-5165,iwither@schools.nyc.gov,bhsva418.com,"2, 5 to Bronx Park East","Bx12, Bx12-SBS, Bx21, Bx22, Bx39, BxM10, BxM11",471,8:15am,2:45pm,2040 Antin Place,Bronx,10462,NY,BRONX    ,40.851577,-73.864438,11,13,228,2048811,2042900048,Pelham Parkway                                                             
12X248,"Metropolitan High School, The",X,"1180 Rev. J.A. Polite Avenue, Bronx NY 10459(40.827539, -73.896925)",718-991-4634,718-542-7294,mnarayanan@schools.nyc.gov,schools.nyc.gov/SchoolPortals/12/X248,"2, 5 to Simpson St","Bx11, Bx17, Bx19, Bx21, Bx27, Bx35, Bx4, Bx4A, Bx5, Bx6",436,8am,4pm,1180 Rev. J.A. Polite Avenue,Bronx,10459,NY,BRONX    ,40.827539,-73.896925,2,17,131,2005276,2026920014,Longwood                                                                   
11X544,High School for Contemporary Arts,X,"800 East Gun Hill Road, Bronx NY 10467(40.875172, -73.861649)",718-944-5610,718-944-5650,PCubero@schools.nyc.gov,schools.nyc.gov/SchoolPortals/11/X544,"2, 5 to Gun Hill Rd","Bx28, Bx30, Bx38, Bx39, Bx41, Bx41-SBS, Bx8, BxM11",476,8:12am,2:29pm,800 East Gun Hill Road,Bronx,10467,NY,BRONX    ,40.875172,-73.861649,12,12,372,2057045,2046330040,Williamsbridge-Olinville                                                   
